                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.038303,                0.01315,               0.023947,                      0,                0.96165,                0.93548,                0.98073,                0.86424,                0.96135,                0.93479,                0.97982,                0.83227,              0.0099304,              0.0031787,              0.0071907,                      0,               0.070016,              0.0033315,              0.0033315
                      1,               0.025814,              0.0076717,               0.015426,                      0,                0.99022,                0.98602,                 0.9942,                0.91112,                0.98987,                0.98567,                0.99417,                0.85627,              0.0080971,              0.0024196,              0.0045575,                      0,               0.039986,              0.0066349,              0.0066349
                      2,               0.024118,              0.0075744,               0.014848,                      0,                0.99005,                0.98974,                0.99325,                0.94531,                0.99025,                0.98963,                0.99325,                0.89396,              0.0055903,              0.0024787,              0.0041883,                      0,              0.0099261,              0.0099082,              0.0099082
                      3,               0.021061,              0.0076798,               0.014545,                      0,                0.99282,                0.98989,                0.99447,                0.95427,                0.99217,                0.98798,                0.99442,                0.89026,              0.0048392,              0.0023821,               0.003874,                      0,               0.009865,               0.009865,               0.009865
                      4,               0.017069,              0.0072103,               0.012718,                      0,                0.99447,                0.98903,                0.99441,                 0.9578,                0.99346,                0.98791,                0.99435,                0.88679,              0.0042242,              0.0023368,              0.0033673,                      0,               0.009865,               0.009865,               0.009865
                      5,               0.014649,              0.0069212,               0.011749,                      0,                0.99373,                 0.9906,                0.99458,                0.97127,                 0.9931,                0.98923,                0.99453,                0.92196,              0.0039899,              0.0022724,              0.0032992,                      0,                0.00982,                0.00982,                0.00982
                      6,               0.013535,              0.0066356,               0.011261,                      0,                0.99271,                0.99192,                0.99448,                0.97408,                0.99156,                0.99077,                0.99444,                0.90754,              0.0034486,              0.0022333,              0.0029321,                      0,               0.009775,               0.009775,               0.009775
                      7,               0.012663,              0.0065177,               0.010767,                      0,                0.99426,                0.99243,                0.99442,                0.97797,                0.99414,                0.99232,                0.99442,                0.92229,              0.0033423,              0.0022207,               0.002762,                      0,                0.00973,                0.00973,                0.00973
                      8,               0.012003,              0.0063117,               0.010419,                      0,                0.99499,                0.99055,                0.99458,                0.97708,                0.99497,                0.99049,                0.99457,                0.91891,              0.0034053,              0.0022402,              0.0028478,                      0,               0.009685,               0.009685,               0.009685
                      9,               0.011676,               0.006224,               0.010184,                      0,                0.99398,                 0.9932,                0.99454,                0.97811,                0.99323,                0.99246,                0.99451,                 0.9149,              0.0031711,              0.0022097,              0.0026305,                      0,                0.00964,                0.00964,                0.00964
                     10,               0.011278,              0.0061533,              0.0099231,                      0,                0.99406,                0.99255,                0.99468,                0.97966,                 0.9938,                0.99232,                0.99468,                 0.9227,              0.0031314,              0.0022646,               0.002741,                      0,               0.009595,               0.009595,               0.009595
                     11,               0.011179,              0.0061416,              0.0097685,                      0,                0.99426,                0.99337,                0.99458,                0.97848,                0.99386,                0.99297,                0.99458,                 0.9251,              0.0032197,              0.0022618,              0.0026744,                      0,                0.00955,                0.00955,                0.00955
                     12,               0.010884,              0.0061141,              0.0096504,                      0,                0.99279,                0.99244,                0.99456,                0.97994,                0.99193,                0.99158,                0.99453,                0.92091,              0.0030611,              0.0023095,              0.0026257,                      0,               0.009505,               0.009505,               0.009505
                     13,               0.010692,              0.0060813,              0.0096466,                      0,                0.99468,                0.99364,                0.99451,                0.98167,                0.99453,                0.99324,                 0.9945,                0.92762,              0.0030045,              0.0022509,              0.0025512,                      0,                0.00946,                0.00946,                0.00946
                     14,               0.010541,                 0.0061,              0.0094961,                      0,                0.99478,                0.99279,                0.99467,                0.98127,                0.99383,                0.99169,                0.99464,                0.92562,              0.0030187,              0.0022214,              0.0025424,                      0,               0.009415,               0.009415,               0.009415
                     15,               0.010412,               0.005922,              0.0094431,                      0,                0.99477,                0.99289,                0.99449,                0.98189,                0.99374,                0.99186,                0.99447,                0.92573,              0.0029845,              0.0022309,              0.0025201,                      0,                0.00937,                0.00937,                0.00937
                     16,               0.010195,              0.0059599,              0.0092219,                      0,                0.99472,                 0.9935,                0.99454,                0.98207,                0.99392,                 0.9927,                0.99452,                0.92337,              0.0029862,              0.0022323,              0.0024905,                      0,               0.009325,               0.009325,               0.009325
