                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.032071,               0.010567,               0.020373,               0.005901,                0.97421,                0.96274,                0.99106,                0.94843,                0.97463,                0.96206,                0.99057,                0.90207,              0.0060228,              0.0020569,              0.0039349,              0.0010868,               0.070006,              0.0033327,              0.0033327
                      1,               0.021986,               0.007066,               0.013963,              0.0020448,                0.99453,                0.98675,                0.99402,                0.96551,                0.99423,                0.98641,                0.99397,                0.91803,              0.0047265,              0.0019651,              0.0035948,             0.00040578,               0.039976,               0.006636,               0.006636
                      2,               0.020557,              0.0070154,               0.013514,              0.0018737,                0.99358,                0.98841,                0.99407,                 0.9634,                0.99359,                0.98829,                0.99406,                 0.9077,               0.004089,               0.001952,              0.0034093,             0.00046267,              0.0099156,              0.0099094,              0.0099094
                      3,               0.017431,              0.0068795,               0.012664,              0.0017335,                0.99416,                0.98916,                0.99424,                0.97269,                0.99434,                0.98909,                0.99424,                0.92671,              0.0034245,              0.0019025,              0.0028708,             0.00027025,               0.009865,               0.009865,               0.009865
                      4,               0.014087,              0.0063776,               0.011103,              0.0012815,                0.99495,                0.98825,                0.99403,                0.97648,                0.99457,                0.98781,                0.99399,                0.92298,               0.003142,              0.0019127,              0.0026824,              0.0002386,               0.009865,               0.009865,               0.009865
                      5,               0.012682,              0.0061987,               0.010413,              0.0011394,                0.99495,                0.98984,                0.99434,                0.97847,                0.99409,                0.98897,                0.99425,                0.91662,              0.0029666,              0.0018896,               0.002529,             0.00023744,                0.00982,                0.00982,                0.00982
                      6,               0.011863,              0.0060476,               0.010021,              0.0010484,                0.99491,                0.99023,                0.99428,                0.98036,                0.99404,                0.98936,                0.99424,                0.92073,              0.0028706,               0.001869,              0.0024103,             0.00021646,               0.009775,               0.009775,               0.009775
                      7,               0.011343,               0.005977,               0.009794,             0.00096958,                0.99447,                 0.9912,                0.99427,                 0.9803,                0.99382,                0.98966,                0.99424,                0.91861,              0.0028266,              0.0018802,              0.0024186,             0.00018329,                0.00973,                0.00973,                0.00973
                      8,               0.011034,              0.0058941,              0.0095103,             0.00095441,                0.99462,                0.99068,                0.99435,                0.98065,                0.99406,                0.98936,                0.99432,                 0.9266,               0.002798,              0.0018765,              0.0023713,             0.00018143,               0.009685,               0.009685,               0.009685
                      9,               0.010724,               0.005776,              0.0092504,             0.00085677,                0.99509,                0.99084,                0.99427,                 0.9817,                 0.9941,                0.98986,                0.99423,                0.92422,              0.0027407,              0.0018522,              0.0023106,             0.00016992,                0.00964,                0.00964,                0.00964
